date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,3034.TW,6732460000.0,1.75,1061336000.0,1061336000.0,1061336000.0,-3805000.0,9338200000.0,191119000.0,1057531000.0,6066319000.0,15.46,3249157000.0,8.28,19105605000.0,48.69,33740089000.0,85.98,24271356000.0,24271356000.0,61.85,61.85,5500147000.0,14.02,255910000.0,0.65,6066319000.0,15.46,85332000.0,0.22,109816000.0,0.28,14846064000.0,37.83,39240236000.0,100.0,18122674000.0,19105605000.0,982931000.0,1488139000.0,-64740000.0,1457856000.0,65119000.0,1252455000.0,1252455000.0,-10138000.0,-31074000.0,
2013-08-15,3034.TW,7900027000.0,2.07,1253352000.0,1253352000.0,1253352000.0,-8170000.0,10927619000.0,290159000.0,1245182000.0,6071456000.0,14.8,3260150000.0,7.94,19592219000.0,47.74,35687876000.0,86.97,22135530000.0,22135530000.0,53.94,53.94,5348199000.0,13.03,258187000.0,0.63,6071456000.0,14.8,84902000.0,0.21,101646000.0,0.25,12702278000.0,30.95,41036075000.0,100.0,18122674000.0,19592219000.0,1469545000.0,2031712000.0,-136775000.0,2484939000.0,130447000.0,2795966000.0,2795966000.0,-17259000.0,-54823000.0,-0.09869610964259323
2013-11-15,3034.TW,7616301000.0,2.04,1239346000.0,1239346000.0,1239346000.0,-4380000.0,10573578000.0,222446000.0,1234966000.0,6082143000.0,15.69,3281878000.0,8.47,17123605000.0,44.17,33421842000.0,86.21,23402911000.0,23402911000.0,60.37,60.37,5345298000.0,13.79,261492000.0,0.67,6082143000.0,15.69,64209000.0,0.17,97266000.0,0.25,13941624000.0,35.96,38767140000.0,100.0,18122674000.0,17123605000.0,-999069000.0,2893369000.0,-287200000.0,3308725000.0,196338000.0,4257758000.0,4257758000.0,-28278000.0,-115299000.0,0.002468488256841606
2014-04-01,3034.TW,7707767000.0,1.95,1190924000.0,1190924000.0,1190924000.0,15953000.0,10610257000.0,234604000.0,1206877000.0,6085115000.0,15.6,3287822000.0,8.43,18292348000.0,46.91,33727347000.0,86.49,24618704000.0,24618704000.0,63.13,63.13,5268999000.0,13.51,242228000.0,0.62,6085115000.0,15.6,57657000.0,0.15,90647000.0,0.23,15155120000.0,38.86,38996346000.0,100.0,18122674000.0,18292348000.0,169674000.0,4880373000.0,-356778000.0,5266654000.0,262294000.0,5683286000.0,5683286000.0,-38059000.0,-154347000.0,0.13541962702094326
2014-05-16,3034.TW,7622341000.0,2.08,1266946000.0,1266946000.0,1266946000.0,52072000.0,10593171000.0,177463000.0,1319018000.0,6085115000.0,14.47,3287822000.0,7.82,20016708000.0,47.59,36807801000.0,87.52,25937722000.0,25937722000.0,61.67,61.67,5249056000.0,12.48,245668000.0,0.58,6085115000.0,14.47,58896000.0,0.14,142719000.0,0.34,16422066000.0,39.05,42056857000.0,100.0,18292348000.0,20016708000.0,1724360000.0,1445756000.0,-34305000.0,1411116000.0,67783000.0,1444409000.0,1444409000.0,-12447000.0,-11767000.0,0.0031003490279820005
2014-08-15,3034.TW,9307533000.0,2.91,1767290000.0,1767290000.0,1767290000.0,14754000.0,13083176000.0,238700000.0,1782044000.0,6085115000.0,13.44,3287822000.0,7.26,20876080000.0,46.12,39992152000.0,88.35,24068697000.0,24068697000.0,53.17,53.17,5272686000.0,11.65,249127000.0,0.55,6085115000.0,13.44,62734000.0,0.14,157473000.0,0.35,14538287000.0,32.12,45264838000.0,100.0,18292348000.0,20876080000.0,2583732000.0,992123000.0,-98748000.0,1586334000.0,134181000.0,3450399000.0,3450399000.0,-24191000.0,-32561000.0,0.1204208125499002
2014-11-15,3034.TW,10946825000.0,3.43,2087768000.0,2087768000.0,2087768000.0,4302000.0,15281654000.0,321695000.0,2092070000.0,6085115000.0,13.24,3287822000.0,7.15,19082941000.0,41.51,40735944000.0,88.61,26160767000.0,26160767000.0,56.9,56.9,5237010000.0,11.39,252626000.0,0.55,6085115000.0,13.24,66353000.0,0.14,161775000.0,0.35,16626055000.0,36.16,45972954000.0,100.0,18292348000.0,19082941000.0,790593000.0,2710300000.0,-187465000.0,3316363000.0,199542000.0,5859862000.0,5859862000.0,-39298000.0,-103474000.0,0.06717275505572345
2015-04-01,3034.TW,10801568000.0,3.43,2087379000.0,2087379000.0,2087379000.0,-20895000.0,15108981000.0,330236000.0,2066484000.0,6085115000.0,13.25,3287822000.0,7.16,20013371000.0,43.57,40665838000.0,88.54,28227251000.0,28227251000.0,61.46,61.46,5265492000.0,11.46,268618000.0,0.58,6085115000.0,13.25,51749000.0,0.11,153566000.0,0.33,18700748000.0,40.71,45931330000.0,100.0,18292348000.0,20013371000.0,1721023000.0,5748792000.0,-344628000.0,6318443000.0,264914000.0,8277477000.0,8277477000.0,-51494000.0,-146000000.0,-0.015086364604927146
2015-05-16,3034.TW,9000129000.0,2.79,1699681000.0,1699681000.0,1699681000.0,79943000.0,12697879000.0,235596000.0,1779624000.0,6085115000.0,13.04,3287822000.0,7.05,21822865000.0,46.76,41201142000.0,88.29,30006875000.0,30006875000.0,64.3,64.3,5466022000.0,11.71,271930000.0,0.58,6085115000.0,13.04,53949000.0,0.12,233509000.0,0.5,20400429000.0,43.71,46667164000.0,100.0,20013371000.0,21822865000.0,1809494000.0,2669034000.0,-181612000.0,2633326000.0,63871000.0,1935277000.0,1935277000.0,-10618000.0,-28162000.0,-0.016709940332587665
2015-08-15,3034.TW,8962544000.0,2.44,1485241000.0,1485241000.0,1485241000.0,-19171000.0,12456260000.0,225139000.0,1466070000.0,6085115000.0,13.71,3287822000.0,7.41,20766650000.0,46.8,38393233000.0,86.53,25387830000.0,25387830000.0,57.22,57.22,5976217000.0,13.47,275260000.0,0.62,6085115000.0,13.71,62108000.0,0.14,214338000.0,0.48,15800555000.0,35.61,44369450000.0,100.0,20013371000.0,20766650000.0,753279000.0,3235498000.0,-839675000.0,4155136000.0,126291000.0,3645657000.0,3645657000.0,-19075000.0,-669251000.0,-0.15769148945146788
