date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,sharpe_ratio
2013-05-16,2330.TW,71988726000.0,1.53,39576876000.0,39535543000.0,39535543000.0,5907807000.0,132754996000.0,6212371000.0,45443350000.0,259282327000.0,24.42,55762572000.0,5.25,186028798000.0,17.52,297751192000.0,28.05,768649085000.0,766131268000.0,72.17,72.4,763878534000.0,71.95,134774317000.0,12.7,259282327000.0,24.42,15046385000.0,1.42,3098025000.0,0.29,447988344000.0,42.2,1061629726000.0,100.0,143410588000.0,186028798000.0,42618210000.0,73569672000.0,-77032913000.0,73608749000.0,35964677000.0,45747914000.0,45747914000.0,-331695000.0,-80418491000.0,-0.0949360967146036
2013-08-15,2330.TW,79467520000.0,1.99,51807725000.0,51761503000.0,51761503000.0,5649911000.0,155886320000.0,8255176000.0,57411414000.0,259283058000.0,22.16,55828587000.0,4.77,225832646000.0,19.3,352462353000.0,30.13,746236271000.0,745911755000.0,63.76,63.79,817423101000.0,69.87,180017716000.0,15.39,259283058000.0,22.16,16251434000.0,1.39,8777348000.0,0.75,422022762000.0,36.07,1169885454000.0,100.0,143410588000.0,225832646000.0,82422058000.0,148808328000.0,-153664398000.0,163143293000.0,73519241000.0,105764593000.0,105764593000.0,-374202000.0,-158818884000.0,0.09344794740529408
2013-11-15,2330.TW,83636464000.0,2.01,51951943000.0,51934752000.0,51934752000.0,5993031000.0,162577034000.0,7415132000.0,57927783000.0,259283910000.0,22.02,55841716000.0,4.74,216603697000.0,18.39,338210837000.0,28.72,804174761000.0,803876999000.0,68.27,68.29,839329378000.0,71.28,225081266000.0,19.11,259283910000.0,22.02,15396990000.0,1.31,14776668000.0,1.25,473974705000.0,40.25,1177540215000.0,100.0,143410588000.0,216603697000.0,73193109000.0,244610435000.0,-205986693000.0,259008502000.0,113400781000.0,165114477000.0,165114477000.0,-1242377000.0,-213640001000.0,0.1151559140797658
2014-04-01,2330.TW,80965110000.0,1.73,44810246000.0,44787139000.0,44787139000.0,-1198501000.0,145805847000.0,5585506000.0,43588638000.0,259286171000.0,20.53,55858626000.0,4.42,242695447000.0,19.21,358486654000.0,28.38,847775085000.0,847508255000.0,67.1,67.12,904568323000.0,71.62,225501958000.0,17.85,259286171000.0,20.53,16693484000.0,1.32,14170306000.0,1.12,518193152000.0,41.03,1263054977000.0,100.0,143410588000.0,242695447000.0,99284859000.0,347383537000.0,-281054215000.0,361846606000.0,153979847000.0,215487122000.0,215487122000.0,-1330886000.0,-287594773000.0,0.06837545326206906
2014-05-16,2330.TW,77836093000.0,1.85,47870745000.0,47845778000.0,47845778000.0,2414145000.0,148215172000.0,5456064000.0,50259923000.0,259291239000.0,19.96,55835280000.0,4.3,231697295000.0,17.84,355890417000.0,27.4,897998101000.0,897773643000.0,69.13,69.14,942848864000.0,72.6,226344016000.0,17.43,259291239000.0,19.96,18668514000.0,1.44,16583227000.0,1.28,566063897000.0,43.59,1298739281000.0,100.0,242695447000.0,231697295000.0,-10998152000.0,94860941000.0,-115859592000.0,95040171000.0,40985942000.0,53297325000.0,53297325000.0,-863834000.0,-114905317000.0,0.05193955883299676
2014-08-15,2330.TW,91823190000.0,2.3,59702284000.0,59659857000.0,59659857000.0,-3098651000.0,183020484000.0,14438263000.0,56561206000.0,259293750000.0,19.28,56026837000.0,4.17,255053573000.0,18.96,459199555000.0,34.14,877651007000.0,877477341000.0,65.24,65.25,885757155000.0,65.86,220670626000.0,16.41,259293750000.0,19.28,20284963000.0,1.51,13485597000.0,1.0,548671157000.0,40.79,1344956710000.0,100.0,242695447000.0,255053573000.0,12358126000.0,176609804000.0,-182354151000.0,199212436000.0,86338443000.0,127390897000.0,127390897000.0,-889467000.0,-188233322000.0,0.10513382139707972
2014-11-15,2330.TW,103468164000.0,2.94,76335237000.0,76304606000.0,76304606000.0,3380357000.0,209049734000.0,9076586000.0,79684963000.0,259293750000.0,19.21,55944799000.0,4.14,225884318000.0,16.73,476230199000.0,35.28,957244985000.0,957106452000.0,70.9,70.91,873677351000.0,64.72,220414398000.0,16.33,259293750000.0,19.21,25954613000.0,1.92,16865491000.0,1.25,625002412000.0,46.3,1349907550000.0,100.0,242695447000.0,225884318000.0,-16811129000.0,267854884000.0,-226979290000.0,297703699000.0,141919819000.0,212767541000.0,212767541000.0,-2743513000.0,-236115030000.0,0.06880450502234133
2015-04-01,2330.TW,111973199000.0,3.09,79990528000.0,79970628000.0,79970628000.0,9138313000.0,222521075000.0,9345764000.0,89108941000.0,259296624000.0,17.34,55989922000.0,3.74,358449029000.0,23.97,626566787000.0,41.91,1045675747000.0,1045548501000.0,69.93,69.94,868567058000.0,58.09,248443321000.0,16.62,259296624000.0,17.34,29746011000.0,1.99,25749291000.0,1.72,704512664000.0,47.12,1495133845000.0,100.0,242695447000.0,358530507000.0,115835060000.0,421523731000.0,-282420557000.0,451441830000.0,197645186000.0,302078357000.0,302078357000.0,-3192971000.0,-288540028000.0,0.04518921419741173
2015-05-16,2330.TW,112585333000.0,3.05,78989911000.0,78983908000.0,78983908000.0,-1645583000.0,222034144000.0,9275072000.0,77338325000.0,259303020000.0,16.66,56274436000.0,3.61,437412411000.0,28.1,690493692000.0,44.35,1123915753000.0,1123843499000.0,72.18,72.19,866401363000.0,55.65,245414157000.0,15.76,259303020000.0,16.66,31056696000.0,1.99,24110858000.0,1.55,784155185000.0,50.37,1556895055000.0,100.0,358449029000.0,437330933000.0,78881904000.0,156000661000.0,-57168005000.0,156119157000.0,54706227000.0,88258980000.0,88258980000.0,-861616000.0,-48875682000.0,-0.14200364914461897
2015-08-15,2330.TW,105735807000.0,3.06,79417514000.0,79412904000.0,79412904000.0,-20259381000.0,205439752000.0,18718779000.0,59153523000.0,259303805000.0,16.12,56532959000.0,3.51,528895107000.0,32.87,731368790000.0,45.46,1066627555000.0,1066580381000.0,66.29,66.3,877484276000.0,54.54,232845770000.0,14.47,259303805000.0,16.12,42105299000.0,2.62,3854399000.0,0.24,746889218000.0,46.42,1608853066000.0,100.0,358449029000.0,528813629000.0,170364600000.0,267067813000.0,-61278131000.0,293586228000.0,108544796000.0,186390663000.0,186390663000.0,-1212515000.0,-102689656000.0,0.08170143754230161
